year, month, imgURL
2007, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMGhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--66e04bba4b4a5392c872ae73b6f2441cc241d507/co2_2007_12_0064_720x360.jpg?disposition=attachment
2008, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMGxmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--465879d75674771effbb62cb6a06071953bed69d/co2_2008_1_0065_720x360.jpg?disposition=attachment
2008, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMHBmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6cf5907a446072f20ca366a3b7d38b92700863a6/co2_2008_2_0066_720x360.jpg?disposition=attachment
2008, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMHRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fb6bffbd724f4f582614c9c3d8c776421be1c3c8/co2_2008_3_0067_720x360.jpg?disposition=attachment
2008, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMHhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d3c222b6a7af0744e957982ed185b4155b83d5c2/co2_2008_4_0068_720x360.jpg?disposition=attachment
2008, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMDFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bfd73f3a22eb9649418bbd370b84feb710adda68/co2_2008_5_0069_720x360.jpg?disposition=attachment
2008, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMDVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b4d82dea3d17d9b7c4bc2bb98470a1fb8af7e710/co2_2008_6_0070_720x360.jpg?disposition=attachment
2008, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMDlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--286631d80478b16ba52042c43d83d120d595804e/co2_2008_7_0071_720x360.jpg?disposition=attachment
2008, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMUJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b9ca9e2c31f480248f73a86954b91973abacf29a/co2_2008_8_0072_720x360.jpg?disposition=attachment
2008, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMUZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7d1800c3cdb23d33c8eda2bbf84c6a0103818f96/co2_2008_9_0073_720x360.jpg?disposition=attachment
